NOC,Best_Params,CV_MSE,CV_RMSE,Train_MSE,Train_RMSE,Train_R2
TJK,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}",0.9232859531845758,0.9608776993897693,0.00024822191236607166,0.01575505989725433,0.9997762506705432
TKM,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}",0.22251604576097112,0.4717160647688089,0.001293904776868449,0.035970887907701816,0.9881700134686313
TLS,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
TOG,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",0.17589072511853998,0.41939328215714183,0.00979705112666232,0.09898005418599407,0.871747694341875
TPE,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0}",6.512727976907715,2.552004697665683,2.7015807984640995e-15,5.1976733241558186e-08,0.9999999999999998
TTO,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}",2.134354025882486,1.460942855105047,0.0005190291691411018,0.022782211682387244,0.9996207094533199
TUN,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",1.0683194932888542,1.033595420504974,0.00011724099494797807,0.010827788091202103,0.9999137537508429
TUR,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",22.510502076860526,4.744523377206663,0.29744044747878645,0.5453810112928268,0.9802317865084813
TUV,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
UAE,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",0.3709344593982701,0.6090438895500636,0.022903154873415807,0.15133788314039484,0.846039903350927
UGA,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",1.555218367134927,1.2470839455044422,0.007813824693178656,0.08839584092692741,0.9936921917979648
UKR,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}",22.270104793306235,4.719121188664923,1.775699434143273,1.332553726550368,0.9127822227281892
URU,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}",0.15772531368160475,0.3971464637657054,3.316547373537479e-05,0.005758947276662185,0.9999209705603332
USA,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}",1337.0316300380675,36.5654431128363,0.013776307460517216,0.11737251577996109,0.999992062428801
UZB,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}",17.42802808134919,4.174688980193517,0.13017009895367276,0.3607909352432136,0.992162853872968
VAN,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
VEN,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8}",1.722617381954174,1.3124851930418773,0.014764350397881168,0.12150864330524462,0.9888508929358466
VIE,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",0.866245850183639,0.9307232941017641,0.019263440735248286,0.13879279785078288,0.9551754552122107
VIN,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
VNM,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
YEM,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
ZAM,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}",0.2403275901392548,0.4902321798283491,0.0003315305920367795,0.018207981547573568,0.9979279337997702
ZIM,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",2.370556789034058,1.5396612578856617,5.078741865386139e-05,0.007126529215113159,0.9999649473337512
