NOC,Pred_Gold_Medals,Gold_Medals_LowerCI,Gold_Medals_UpperCI,2024_Gold_Medals,CI_Margin,Prob_FirstMedal
TTO,0.3938572636851087,0.2539753010701873,0.5337392263000301,0.0,0.13988196261492142,0
RSA,0.3815223849089743,-0.029035310400572834,0.7920800802185214,1.0,0.4105576953095471,0
EST,0.3728481934117499,0.08370230697913361,0.6619940798443662,0.0,0.2891458864326163,0
UNK,0.3632224740636864,-9.899788271903267,10.62623322003064,,10.263010745966954,0
GUA,0.35693008816823757,0.35693006015598056,0.3569301161804946,1.0,2.8012256990086997e-08,0
BER,0.35497828141870075,0.35497825272311756,0.35497831011428393,0.0,2.869558318209094e-08,0
LCA,0.33507273323406384,0.11496429375611264,0.5551811727120151,1.0,0.2201084394779512,0
SAA,0.27457718192239833,-9.988433564044556,10.537587927889351,,10.263010745966954,0
COL,0.24428250650492894,0.24428247669763917,0.24428253631221872,0.0,2.980728976750265e-08,0
GRN,0.24261640146496236,-0.021031517796663818,0.5062643207265886,0.0,0.2636479192616262,0
ZIM,0.22995929374595275,0.22931145685261306,0.23060713063929245,0.0,0.0006478368933396831,0
CRC,0.17331604441654347,0.16051208571363784,0.1861200031194491,0.0,0.012803958702905637,0
AIN,0.17052756375995054,-10.092483182207003,10.433538309726904,0.0,10.263010745966954,0
CMR,0.13533567073925246,0.1153532030012905,0.15531813847721443,0.0,0.01998246773796196,0
SSD,0.11952071448852018,-10.143490031478434,10.382531460455473,0.0,10.263010745966954,0
WIF,0.11749882043503376,-10.14551192553192,10.380509566401987,,10.263010745966954,0
NBO,0.11209495008175108,-10.150915795885203,10.375105696048704,,10.263010745966954,0
RHO,0.11209495008175108,-10.150915795885203,10.375105696048704,,10.263010745966954,0
MAL,0.10697599276487964,-10.156034753202073,10.369986738731834,,10.263010745966954,0
POR,0.099317899764545,0.069405205106925,0.129230594422165,1.0,0.029912694657620004,0
VIE,0.09492896919278349,-0.12379329823663068,0.3136512366221976,0.0,0.21872226742941417,0
DMA,0.09479238685737926,-0.005868966880991033,0.19545374059574955,1.0,0.10066135373837029,0
TJK,0.09146301673289818,-0.10423352345731039,0.28715955692310674,0.0,0.19569654019020857,0
KOS,0.08172126133331312,-10.181289484633641,10.344732007300266,0.0,10.263010745966954,0
LBN,0.08052821005399291,-10.18248253591296,10.343538956020947,0.0,10.263010745966954,0
ROT,0.07512433970071022,-10.187886406266243,10.338135085667664,,10.263010745966954,0
MOZ,0.0726754097502812,-0.16318290547476855,0.30853372497533094,0.0,0.23585831522504974,0
IOA,0.07000538238383879,-10.193005363583115,10.333016128350792,,10.263010745966954,0
JOR,0.06599137338655195,-0.12652862897404565,0.25851137574714955,0.0,0.1925200023605976,0
SGP,0.06520198502908232,-0.08871286524134166,0.21911683529950632,0.0,0.15391485027042398,0
PAN,0.0582834542675925,0.05826951358688247,0.058297394948302536,0.0,1.3940680710037117e-05,0
NGR,0.008108571357570883,-0.022581579300710176,0.038798722015851946,0.0,0.03069015065828106,0
CIV,0.007197958561419908,0.006778274407177252,0.007617642715662564,0.0,0.0004196841542426564,0
SVK,0.002046426826487786,-0.0023486691433610334,0.006441522796336605,0.0,0.004395095969848819,0
MGL,0.0009997830371431338,-0.057939193344602874,0.05993875941888914,0.0,0.05893897638174601,0
LUX,0.000332126063817355,-0.014576179021178448,0.015240431148813157,0.0,0.014908305084995802,0
ARM,7.829094855970247e-09,-2.0584371990669234e-08,3.6242561702609725e-08,0.0,2.841346684663948e-08,0
BDI,5.369749581461826e-09,-2.4398623342520643e-08,3.51381225054443e-08,0.0,2.976837292398247e-08,0
